"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"5/14/2024 9 a.m. CDT",24337,24153,25910,1573
SOCO,"5/14/2024 10 a.m. CDT",25017,24768,26695,1678
SOCO,"5/14/2024 11 a.m. CDT",25582,25339,27395,1813
SOCO,"5/14/2024 12 p.m. CDT",26216,25960,28028,1812
SOCO,"5/14/2024 1 p.m. CDT",27007,26746,28829,1822
SOCO,"5/14/2024 2 p.m. CDT",27772,27492,30060,2288
SOCO,"5/14/2024 3 p.m. CDT",28697,28408,31340,2643
SOCO,"5/14/2024 4 p.m. CDT",29300,28969,31861,2561
SOCO,"5/14/2024 5 p.m. CDT",29763,29433,32225,2462
SOCO,"5/14/2024 6 p.m. CDT",29876,29617,32235,2359
SOCO,"5/14/2024 7 p.m. CDT",29649,29353,31966,2317
SOCO,"5/14/2024 8 p.m. CDT",29281,28982,31477,2196
SOCO,"5/14/2024 9 p.m. CDT",28661,28418,30570,1909
SOCO,"5/14/2024 10 p.m. CDT",26901,26684,28546,1645
SOCO,"5/14/2024 11 p.m. CDT",24790,24618,25359,569
SOCO,"5/15/2024 12 a.m. CDT",23294,22881,23951,657
SOCO,"5/15/2024 1 a.m. CDT",22199,21633,23159,960
SOCO,"5/15/2024 2 a.m. CDT",21713,20797,22575,862
SOCO,"5/15/2024 3 a.m. CDT",21337,20414,22255,918
SOCO,"5/15/2024 4 a.m. CDT",21206,20262,21906,700
SOCO,"5/15/2024 5 a.m. CDT",21796,20874,22646,850
SOCO,"5/15/2024 6 a.m. CDT",23171,22226,23853,682
SOCO,"5/15/2024 7 a.m. CDT",24160,23292,25270,1110
SOCO,"5/15/2024 8 a.m. CDT",24861,24248,26078,1217
SOCO,"5/15/2024 9 a.m. CDT",25993,25685,27311,1318
SOCO,"5/15/2024 10 a.m. CDT",27089,26695,28582,1493
SOCO,"5/15/2024 11 a.m. CDT",28205,27880,29766,1561
SOCO,"5/15/2024 12 p.m. CDT",29271,28923,30749,1478
SOCO,"5/15/2024 1 p.m. CDT",30320,29939,31792,1472
SOCO,"5/15/2024 2 p.m. CDT",31138,30754,32901,1763
SOCO,"5/15/2024 3 p.m. CDT",31788,31440,33695,1907
SOCO,"5/15/2024 4 p.m. CDT",32434,32022,34418,1984
SOCO,"5/15/2024 5 p.m. CDT",32640,32365,34675,2035
SOCO,"5/15/2024 6 p.m. CDT",32313,31974,34121,1808
SOCO,"5/15/2024 7 p.m. CDT",31419,31106,32975,1556
SOCO,"5/15/2024 8 p.m. CDT",30310,30031,32174,1864
SOCO,"5/15/2024 9 p.m. CDT",29383,29045,31344,1961
SOCO,"5/15/2024 10 p.m. CDT",27369,26985,29251,1882
SOCO,"5/15/2024 11 p.m. CDT",25070,24700,26460,1390
SOCO,"5/16/2024 12 a.m. CDT",23454,22781,24454,1000
SOCO,"5/16/2024 1 a.m. CDT",22607,21368,23604,997
SOCO,"5/16/2024 2 a.m. CDT",21727,20534,22767,1040
SOCO,"5/16/2024 3 a.m. CDT",21173,19961,22333,1160
SOCO,"5/16/2024 4 a.m. CDT",21080,19896,22192,1112
SOCO,"5/16/2024 5 a.m. CDT",21416,20484,22447,1031
SOCO,"5/16/2024 6 a.m. CDT",22601,21775,23684,1083
SOCO,"5/16/2024 7 a.m. CDT",23427,22812,24861,1434
SOCO,"5/16/2024 8 a.m. CDT",24530,23880,26059,1529
SOCO,"5/16/2024 9 a.m. CDT",25627,24964,27294,1667
SOCO,"5/16/2024 10 a.m. CDT",27053,26350,29124,2071
SOCO,"5/16/2024 11 a.m. CDT",28379,27831,30381,2002
SOCO,"5/16/2024 12 p.m. CDT",29717,29358,31831,2114
